"basin","comid","tocomid","stream_order","path_number"
"willamette",23785643,23785627,5,5
"willamette",23753854,23752080,1,1
"willamette",23805264,23805262,2,2
"willamette",23791121,23791119,3,3
"willamette",23796683,23796681,5,5
"willamette",23753030,23752572,1,1
"willamette",23763737,23763735,2,2
"willamette",23786095,23786093,3,3
"willamette",23751936,23751934,4,4
"willamette",23791309,23791311,7,6
"willamette",23810564,23810562,1,1
"willamette",23759488,23759486,3,3
"willamette",23791071,23791073,7,6
"willamette",23801696,23800918,1,1
"willamette",23800782,23800780,2,2
"willamette",23780781,23780711,3,3
"willamette",23791153,23791155,7,6
"willamette",23753458,23752434,1,1
"willamette",23800946,23800944,4,4
"willamette",23751928,23751926,5,5
"willamette",23791017,23791015,7,6
"willamette",23764359,23764329,1,1
"willamette",23804904,23804902,2,2
"willamette",23752240,23752238,3,3
"willamette",23773333,23773331,4,4
"willamette",23785773,23785771,5,5
"willamette",23801416,23801384,1,1
"willamette",23773119,23773117,2,2
"willamette",23762795,23762653,4,4
"willamette",23751928,23751926,5,5
"willamette",23753472,23753500,1,1
"willamette",23753936,23752288,3,3
"willamette",23773247,23773245,4,4
"willamette",23773207,23773209,5,5
"willamette",23815312,23815032,1,1
"willamette",23791483,23791059,2,2
"willamette",23791011,23815058,7,6
"willamette",23797389,23797397,1,1
"willamette",23773049,23773047,3,3
"willamette",23772997,23772999,5,5
"willamette",23759842,23759846,1,1
"willamette",23752006,23752004,4,4
"willamette",23764705,23764719,1,1
"willamette",23809580,23809578,3,3
"willamette",23762747,23762745,4,4
"willamette",23773207,23773209,5,5
"willamette",23781267,23780799,1,1
"willamette",23805198,23805196,2,2
"willamette",23785939,23785937,4,4
"willamette",23801660,23801582,1,1
"willamette",23751816,23751814,2,2
"willamette",23785887,23785885,3,3
"willamette",23786037,23786035,4,4
"willamette",23791017,23791015,7,6
"willamette",23753006,23752992,1,1
"willamette",23773027,23773025,4,4
"willamette",23800670,23800668,5,5
"willamette",23801540,23800656,1,1
"willamette",23781441,23781399,3,3
"willamette",23780731,23780729,4,4
"willamette",23809012,23809010,5,5
"willamette",23809736,23809734,2,2
"willamette",23780859,23780857,3,3
"willamette",23772745,23772743,5,5
"willamette",23791017,23791015,7,6
"willamette",23805112,23805110,2,2
"willamette",23804898,23804896,3,3
"willamette",23804976,23804974,4,4
"willamette",23814914,23814912,5,5
"willamette",23791381,23791377,7,6
"willamette",23772931,23772929,1,1
"willamette",23764717,23764757,2,2
"willamette",23759402,23759400,3,3
"willamette",23800672,23800670,4,4
"willamette",23809174,23809172,5,5
"willamette",23791153,23791155,7,6
"willamette",23805114,23805112,2,2
"willamette",23773259,23773257,3,3
"willamette",23762895,23762893,4,4
"willamette",23762893,23762891,5,5
"willamette",23781223,23781273,1,1
"willamette",23792165,23792173,3,3
"willamette",23800672,23800670,4,4
"willamette",23773207,23773209,5,5
"willamette",23796995,23796993,1,1
"willamette",23809254,23809252,2,2
"willamette",23752316,23752314,3,3
"willamette",23762667,23762665,5,5
"willamette",23810380,23810382,1,1
"willamette",23785739,23785737,2,2
"willamette",23773607,23773605,3,3
"willamette",23751968,23751966,4,4
"willamette",23785773,23785771,5,5
"willamette",23800934,23800932,3,3
"willamette",23796531,23796529,4,4
"willamette",23809174,23809172,5,5
"willamette",23801780,23800780,1,1
"willamette",23786005,23786003,2,2
"willamette",23752478,23752476,4,4
"willamette",23809168,23809166,5,5
"willamette",137182882,23792573,7,6
"willamette",23805980,23805274,1,1
"willamette",23809752,23809750,2,2
"willamette",23773431,23773429,3,3
"willamette",23773333,23773331,4,4
"willamette",23772991,23772993,5,5
"willamette",23753388,23753390,1,1
"willamette",23752650,23752648,4,4
"willamette",23751928,23751926,5,5
"willamette",23791017,23791015,7,6
"willamette",23810404,23809374,1,1
"willamette",23780561,23780559,2,2
"willamette",23796843,23796841,3,3
"willamette",23773425,23773407,4,4
"willamette",23815058,23815056,7,6
"willamette",23805938,23806150,2,2
"willamette",23752190,23752188,3,3
"willamette",23773037,23773035,4,4
"willamette",23785617,23785615,5,5
"willamette",23774575,23772967,1,1
"willamette",23796853,23796851,2,2
"willamette",23760174,23759344,3,3
"willamette",23780591,23780589,4,4
"willamette",23809302,23809300,1,1
"willamette",23751782,23751780,5,5
"willamette",23791017,23791015,7,6
"willamette",23805598,23805608,1,1
"willamette",23763875,23762753,2,2
"willamette",23752282,23752280,3,3
"willamette",23786197,23786195,4,4
"willamette",23796681,23796679,5,5
"willamette",23810126,23809170,1,1
"willamette",23809144,23809142,2,2
"willamette",23809526,23809524,3,3
"willamette",23752600,23752598,4,4
"willamette",23804932,23804934,5,5
"willamette",23815154,23815168,1,1
"willamette",23786381,23786379,2,2
"willamette",23773099,23773097,3,3
"willamette",23773425,23773407,4,4
"willamette",23760262,23759500,1,1
"willamette",23765077,23765063,2,2
"willamette",23805024,23805022,3,3
"willamette",23796643,23796641,5,5
"willamette",23787159,23785853,1,1
"willamette",23800800,23800798,2,2
"willamette",23752784,23752782,3,3
"willamette",23772945,23772947,5,5
"willamette",23774749,23774833,1,1
"willamette",23797367,23796689,2,2
"willamette",23800956,23800954,3,3
"willamette",23759510,23759458,4,4
"willamette",23763147,23763145,5,5
"willamette",23810654,23809190,1,1
"willamette",23759608,23759606,2,2
"willamette",23805228,23806034,3,3
"willamette",23780515,23780513,5,5
"willamette",23765465,23763213,2,2
"willamette",23780971,23780677,3,3
"willamette",23780577,23780575,5,5
"willamette",23809026,23809024,4,4
"willamette",23751900,23751898,5,5
"willamette",23791017,23791015,7,6
"willamette",23797023,23797021,1,1
"willamette",23804948,23804946,3,3
"willamette",23785939,23785937,4,4
"willamette",23797709,23796799,1,1
"willamette",23780735,23780733,3,3
"willamette",23796643,23796641,5,5
"willamette",23791279,23791277,7,6
"willamette",23772997,23772999,5,5
"willamette",23809294,23809292,2,2
"willamette",23763243,23763241,3,3
"willamette",23804976,23804974,4,4
"willamette",23809168,23809166,5,5
"willamette",23801236,23800588,1,1
"willamette",23809754,23809172,2,2
"willamette",23759354,23759344,3,3
"willamette",23780627,23780625,4,4
"willamette",23804868,23804866,5,5
"willamette",23815048,23815046,7,6
"willamette",23753248,23752514,1,1
"willamette",23792465,23792481,2,2
"willamette",23763787,23763785,3,3
"willamette",23801464,23800806,1,1
"willamette",23805588,23805008,2,2
"willamette",23762795,23762653,4,4
"willamette",23753226,23753228,2,2
"willamette",23780741,23780739,3,3
"willamette",23814944,23814942,4,4
"willamette",23762893,23762891,5,5
"willamette",23815058,23815056,7,6
"willamette",23805616,23805646,1,1
"willamette",23809684,23809682,2,2
"willamette",23763697,23763695,3,3
"willamette",23809280,23809278,4,4
"willamette",23796499,23796497,5,5
"willamette",23805912,23805936,1,1
"willamette",23800956,23800954,3,3
"willamette",23809186,23809184,5,5
"willamette",137182882,23792573,7,6
"willamette",23781555,23780601,1,1
"willamette",23786539,23786519,2,2
"willamette",23800716,23800714,3,3
"willamette",23809174,23809172,5,5
"willamette",23791017,23791015,7,6
"willamette",23773151,23773149,1,1
"willamette",23763313,23765071,2,2
"willamette",23759698,23759696,3,3
"willamette",23773333,23773331,4,4
"willamette",23751928,23751926,5,5
"willamette",23806112,23806106,1,1
"willamette",23752394,23752392,3,3
"willamette",23780577,23780575,5,5
"willamette",137182882,23792573,7,6
"willamette",23815544,23815536,1,1
"willamette",23815582,25020465,2,2
"willamette",23763539,23763537,4,4
"willamette",23809186,23809184,5,5
"willamette",23791017,23791015,7,6
"willamette",23797369,23796953,1,1
"willamette",947090089,23815092,2,2
"willamette",23780657,23780655,3,3
"willamette",23751900,23751898,5,5
"willamette",23765635,23765005,1,1
"willamette",23781735,23780633,2,2
"willamette",23814998,23814996,3,3
"willamette",23752644,23752642,4,4
"willamette",23759284,23759282,5,5
"willamette",23791071,23791073,7,6
"willamette",23801646,23801642,3,3
"willamette",23780731,23780729,4,4
"willamette",23800652,23800650,5,5
"willamette",23765019,23763465,1,1
"willamette",23791099,23791095,4,4
"willamette",23773309,23773311,5,5
"willamette",23753730,23752262,1,1
"willamette",23760014,23759580,2,2
"willamette",947090073,23773383,3,3
"willamette",23759484,23759482,4,4
"willamette",23759456,23759454,5,5
"willamette",23797047,23797053,1,1
"willamette",23753266,23753272,2,2
"willamette",23815058,23815056,7,6
"willamette",23806014,23804862,1,1
"willamette",23785889,23785887,3,3
"willamette",23805040,23805042,4,4
"willamette",23763081,23763079,5,5
"willamette",23791017,23791015,7,6
"willamette",23786677,23786197,2,2
"willamette",23800672,23800670,4,4
"willamette",137182882,23792573,7,6
"willamette",23797565,23796815,1,1
"willamette",23781221,23781273,2,2
"willamette",23760208,23760188,3,3
"willamette",23780499,23780497,5,5
"willamette",23764679,23763527,1,1
"willamette",23762683,23762681,4,4
"willamette",23751900,23751898,5,5
"willamette",23791281,23791279,7,6
"willamette",23810442,23810434,1,1
"willamette",23786005,23786003,2,2
"willamette",23786143,23786141,3,3
"willamette",23752596,23752594,4,4
"willamette",23785773,23785771,5,5
"willamette",23787199,23785729,1,1
"willamette",23780873,23780871,2,2
"willamette",23763949,23762683,3,3
"willamette",23772775,23772773,5,5
"willamette",23801402,23801386,1,1
"willamette",23792611,23792603,2,2
"willamette",23752424,23752422,3,3
"willamette",23785719,23785717,5,5
"willamette",23791051,23791305,7,6
"willamette",23765239,23765243,1,1
"willamette",23786071,23785701,3,3
"willamette",23809246,23809244,4,4
"willamette",23780509,23780507,5,5
"willamette",23810564,23810562,1,1
"willamette",23805398,23805028,2,2
"willamette",23800596,23800594,5,5
"willamette",23773273,23773271,1,1
"willamette",23809174,23809172,5,5
"willamette",23801142,23801136,1,1
"willamette",23751900,23751898,5,5
"willamette",23773715,23772857,1,1
"willamette",23800672,23800670,4,4
"willamette",23785719,23785717,5,5
"willamette",23791017,23791015,7,6
"willamette",23765339,23763669,1,1
"willamette",23785821,23785819,2,2
"willamette",23751946,23751944,4,4
"willamette",23809186,23809184,5,5
"willamette",23791017,23791015,7,6
"willamette",23773835,23773387,1,1
"willamette",23815086,947090027,2,2
"willamette",23805242,23804874,3,3
"willamette",23763539,23763537,4,4
"willamette",23780481,23780479,5,5
"willamette",23791365,23791363,7,6
"willamette",23801022,23801020,2,2
"willamette",23814978,23814976,3,3
"willamette",23785933,23785931,4,4
"willamette",23772997,23772999,5,5
"willamette",23805394,23805392,1,1
"willamette",23809454,23809452,3,3
"willamette",23809568,23809566,4,4
"willamette",23773309,23773311,5,5
"willamette",23791293,23791291,7,6
"willamette",23774173,23774923,1,1
"willamette",23762683,23762681,4,4
"willamette",23801598,23800770,1,1
"willamette",23785863,23785861,2,2
"willamette",23752006,23752004,4,4
"willamette",23796499,23796497,5,5
"willamette",23791665,23791709,1,1
"willamette",23791067,23791065,2,2
"willamette",23791133,23791131,3,3
"willamette",23763521,23763519,4,4
"willamette",23809168,23809166,5,5
"willamette",23781243,23780715,1,1
"willamette",23773439,23773437,2,2
"willamette",23781809,23780693,3,3
"willamette",23773525,23773523,4,4
"willamette",23780577,23780575,5,5
"willamette",947090047,947090048,1,1
"willamette",23796775,23796773,4,4
"willamette",23809062,23809060,5,5
"willamette",23791017,23791015,7,6
"willamette",23781877,23781881,1,1
"willamette",23752746,23752454,2,2
"willamette",23752300,23752298,3,3
"willamette",23763161,23763159,4,4
"willamette",23814914,23814912,5,5
"willamette",23786515,23786185,1,1
"willamette",23804906,23804904,2,2
"willamette",23780535,23780533,3,3
"willamette",23762897,23762895,4,4
"willamette",23752434,23752432,2,2
"willamette",23781345,23780775,3,3
"willamette",23814914,23814912,5,5
"willamette",23791017,23791015,7,6
"willamette",23792555,23792507,1,1
"willamette",23764785,23762891,2,2
"willamette",23752482,23752480,3,3
"willamette",23796807,23796633,4,4
"willamette",23780577,23780575,5,5
"willamette",23791017,23791015,7,6
"willamette",23759892,23759880,1,1
"willamette",23801284,23801250,2,2
"willamette",23800726,23800724,3,3
"willamette",23796583,23796499,4,4
"willamette",23763147,23763145,5,5
"willamette",23791305,23791303,7,6
"willamette",23781465,23781285,1,1
"willamette",23780907,23780905,2,2
"willamette",23804960,23804958,3,3
"willamette",23752596,23752594,4,4
"willamette",23753678,23752000,1,1
"willamette",23791247,23791245,3,3
"willamette",23809280,23809278,4,4
"willamette",23773207,23773209,5,5
"willamette",23752714,23752712,1,1
"willamette",23763243,23763241,3,3
"willamette",23773331,23773309,4,4
"willamette",23762893,23762891,5,5
"willamette",23805340,23805338,1,1
"willamette",947090073,23773383,3,3
"willamette",23762893,23762891,5,5
"willamette",23791315,23791317,7,6
"willamette",23815416,23815414,1,1
"willamette",23751814,23751810,3,3
"willamette",23800826,23800824,5,5
"willamette",23791089,23791091,7,6
"willamette",23752436,23752434,1,1
"willamette",23801686,23801646,2,2
"willamette",23796843,23796841,3,3
"willamette",23796531,23796529,4,4
"willamette",23780531,23780529,5,5
"willamette",23786213,23786211,2,2
"willamette",23759432,23759430,3,3
"willamette",23809026,23809024,4,4
"willamette",23781045,23780993,1,1
"willamette",23752970,25018663,2,2
"willamette",23809598,23809596,4,4
"willamette",23792013,23792011,1,1
"willamette",23809294,23809292,2,2
"willamette",23762787,23762785,3,3
"willamette",23763225,23763223,4,4
"willamette",23815058,23815056,7,6
"willamette",23792341,23792335,1,1
"willamette",23759574,23759572,3,3
"willamette",23759270,23759268,5,5
"willamette",947090068,947090067,1,1
"willamette",23809712,23809710,2,2
"willamette",23752148,23752136,3,3
"willamette",23759480,23759478,4,4
"willamette",23814914,23814912,5,5
"willamette",23773691,23773689,1,1
"willamette",23805156,23805154,3,3
"willamette",23800858,23800856,4,4
"willamette",23759456,23759454,5,5
"willamette",23791071,23791073,7,6
"willamette",23810246,23809242,1,1
"willamette",23762667,23762665,5,5
"willamette",23787195,23787181,1,1
"willamette",23805078,23805076,2,2
"willamette",23752304,23752302,3,3
"willamette",23796807,23796633,4,4
"willamette",23804868,23804866,5,5
"willamette",23759898,23759908,1,1
"willamette",23751808,23751806,3,3
"willamette",23815058,23815056,7,6
"willamette",23797157,23796623,1,1
"willamette",23773147,25019078,2,2
"willamette",23796763,23796761,3,3
"willamette",23780589,23780587,4,4
"willamette",23804878,23804876,5,5
"willamette",23787165,23785759,1,1
"willamette",23764917,23763813,2,2
"willamette",23780767,23780765,3,3
"willamette",23804892,23804890,4,4
"willamette",23800596,23800594,5,5
"willamette",23801474,23800620,2,2
"willamette",23773247,23773245,4,4
"willamette",23809010,23809008,5,5
"willamette",23791625,23791659,1,1
"willamette",23805196,23805066,2,2
"willamette",23785939,23785937,4,4
"willamette",23809012,23809010,5,5
"willamette",23815058,23815056,7,6
"willamette",23810030,23810040,1,1
"willamette",23763769,23763767,3,3
"willamette",23785807,23785805,4,4
"willamette",23800596,23800594,5,5
"willamette",23759746,23759240,1,1
"willamette",23797311,23796959,1,1
"willamette",23791435,23791179,2,2
"willamette",23805284,23805282,3,3
"willamette",23804856,23804858,5,5
"willamette",23791017,23791015,7,6
"willamette",23809900,23809524,1,1
"willamette",23800674,23800672,3,3
"willamette",23791199,23791197,4,4
"willamette",23780531,23780529,5,5
"willamette",23801396,23801344,1,1
"willamette",23781379,23780779,2,2
"willamette",23751900,23751898,5,5
"willamette",23809990,23809502,1,1
"willamette",23765509,23765511,2,2
"willamette",23791199,23791197,4,4
"willamette",23751900,23751898,5,5
"willamette",23801386,23801360,1,1
"willamette",23797489,23797459,2,2
"willamette",23805314,23805312,3,3
"willamette",23796807,23796633,4,4
"willamette",23796683,23796681,5,5
"willamette",23791305,23791303,7,6
"willamette",23773989,23773997,1,1
"willamette",23764589,23764617,2,2
"willamette",23810686,23810684,3,3
"willamette",23763225,23763223,4,4
"willamette",23762667,23762665,5,5
"willamette",23800596,23800594,5,5
"willamette",23791089,23791091,7,6
"willamette",23797395,23797413,1,1
"willamette",23786563,23786539,2,2
"willamette",23809366,23809364,4,4
"willamette",23815058,23815056,7,6
"willamette",23791471,23791469,1,1
"willamette",23786309,23786307,2,2
"willamette",23796537,23796535,3,3
"willamette",23809100,23809098,5,5
"willamette",23797265,23797269,1,1
"willamette",23809500,23809498,3,3
"willamette",23814964,23814962,4,4
"willamette",23772745,23772743,5,5
"willamette",23791401,23791399,7,6
"willamette",23809916,23809902,1,1
"willamette",23809508,23809506,3,3
"willamette",23809438,23809436,4,4
"willamette",23772997,23772999,5,5
"willamette",23780875,23780873,1,1
"willamette",23810680,23810704,2,2
"willamette",23760004,23759988,1,1
"willamette",23805184,23805136,3,3
"willamette",23773033,23773031,4,4
"willamette",23804940,23804932,5,5
"willamette",23786877,23786895,1,1
"willamette",23772965,23772963,2,2
"willamette",23805148,23805864,3,3
"willamette",23804882,23804880,5,5
"willamette",23759552,23759550,1,1
"willamette",23791907,23791861,2,2
"willamette",23804840,23804838,5,5
"willamette",23765607,23764125,1,1
"willamette",23804984,23804982,3,3
"willamette",23785645,23785643,5,5
"willamette",23815058,23815056,7,6
"willamette",23801242,23800966,1,1
"willamette",23759626,23759624,2,2
"willamette",23800570,23800568,3,3
"willamette",23809358,23809356,4,4
"willamette",23751928,23751926,5,5
"willamette",23791011,23815058,7,6
"willamette",23801228,23800976,1,1
"willamette",23764371,23762795,3,3
"willamette",23804850,23804852,5,5
"willamette",23810114,23809134,1,1
"willamette",23786587,23786607,1,1
"willamette",23791181,23791179,3,3
"willamette",23814914,23814912,5,5
"willamette",23810436,23809752,1,1
"willamette",23815204,23815610,2,2
"willamette",23763633,23763631,3,3
"willamette",23796775,23796773,4,4
"willamette",23772777,23772775,5,5
"willamette",23781337,23781301,1,1
"willamette",23791737,23792587,2,2
"willamette",23762795,23762653,4,4
"willamette",23800596,23800594,5,5
"willamette",23797073,23796547,1,1
"willamette",23810534,23809164,2,2
"willamette",23785959,23785957,3,3
"willamette",23762683,23762681,4,4
"willamette",23785645,23785643,5,5
"willamette",23806118,23806078,1,1
"willamette",23774447,23772961,2,2
"willamette",23751814,23751810,3,3
"willamette",23752634,23752632,4,4
"willamette",23809112,23809110,5,5
"willamette",23805744,23804936,1,1
"willamette",23792165,23792173,3,3
"willamette",23815030,23815024,4,4
"willamette",23796499,23796497,5,5
"willamette",23774325,23773487,1,1
"willamette",23759782,23759786,2,2
"willamette",23763539,23763537,4,4
"willamette",23751928,23751926,5,5
"willamette",23781147,23780431,1,1
"willamette",23792377,23792385,2,2
"willamette",23791201,23791199,3,3
"willamette",23773037,23773035,4,4
"willamette",23763147,23763145,5,5
"willamette",23763829,23763827,1,1
"willamette",23786141,23786139,4,4
"willamette",23796539,23796537,2,2
"willamette",23805110,23805108,3,3
"willamette",23752478,23752476,4,4
"willamette",23780481,23780479,5,5
"willamette",23774541,23774567,1,1
"willamette",23809716,23809714,2,2
"willamette",23809454,23809452,3,3
"willamette",23773037,23773035,4,4
"willamette",23796499,23796497,5,5
"willamette",23752628,23752626,1,1
"willamette",23809762,23809130,3,3
"willamette",23762743,23762741,4,4
"willamette",23796683,23796681,5,5
"willamette",23786351,23786195,1,1
"willamette",23773309,23773311,5,5
"willamette",23815098,23815096,1,1
"willamette",23796807,23796633,4,4
"willamette",23764411,23763877,1,1
"willamette",23800788,23800786,3,3
"willamette",23809214,23809212,4,4
"willamette",23751928,23751926,5,5
"willamette",23815058,23815056,7,6
"willamette",23796959,23796957,2,2
"willamette",23781441,23781399,3,3
"willamette",23762683,23762681,4,4
"willamette",23785683,23785681,5,5
"willamette",23791089,23791091,7,6
"willamette",23753166,23752616,1,1
"willamette",23764203,23764173,2,2
"willamette",23762767,23762765,4,4
"willamette",23814914,23814912,5,5
"willamette",23815058,23815056,7,6
"willamette",23780911,23780649,1,1
"willamette",23815530,23815534,2,2
"willamette",23780729,23780727,4,4
"willamette",23772991,23772993,5,5
"willamette",23815058,23815056,7,6
"willamette",23781727,23780953,1,1
"willamette",23762801,23762799,3,3
"willamette",23773247,23773245,4,4
"willamette",23772873,23772871,5,5
"willamette",23791281,23791279,7,6
"willamette",23753978,23752772,1,1
"willamette",23751946,23751944,4,4
"willamette",23751900,23751898,5,5
"willamette",23791963,23791329,1,1
"willamette",23773555,23773553,3,3
"willamette",23772871,23772869,5,5
"willamette",23805254,23804888,1,1
"willamette",23801474,23800620,2,2
"willamette",23804940,23804932,5,5
"willamette",23772893,23772891,1,1
"willamette",23785815,23785813,3,3
"willamette",23796529,23796527,4,4
"willamette",23797375,23796763,2,2
"willamette",23805040,23805042,4,4
"willamette",23759232,23759230,5,5
"willamette",23791897,23791865,2,2
"willamette",23780901,23780591,3,3
"willamette",23809446,23809444,4,4
"willamette",23759458,23759456,5,5
"willamette",23791017,23791015,7,6
"willamette",23810536,23810534,1,1
"willamette",23786011,23786009,4,4
"willamette",23762667,23762665,5,5
"willamette",23810680,23810704,2,2
"willamette",23762917,23762915,3,3
"willamette",23752120,23752118,4,4
"willamette",23796633,947090082,5,5
"willamette",23815058,23815056,7,6
"willamette",23797251,23796481,1,1
"willamette",23809690,23809208,2,2
"willamette",23752296,23752294,3,3
"willamette",23780577,23780575,5,5
"willamette",23815058,23815056,7,6
"willamette",23805976,23805938,1,1
"willamette",23780927,23780925,2,2
"willamette",23785773,23785771,5,5
"willamette",23797275,23797295,1,1
"willamette",23764395,23764371,2,2
"willamette",23809168,23809166,5,5
"willamette",23791017,23791015,7,6
"willamette",23797167,23796707,1,1
"willamette",23764553,23764589,2,2
"willamette",23780655,23780653,3,3
"willamette",23752460,23752458,4,4
"willamette",23785719,23785717,5,5
"willamette",23810142,23809696,1,1
"willamette",23785847,23785845,3,3
"willamette",137182882,23792573,7,6
"willamette",23764251,23763923,1,1
"willamette",23774353,23773627,2,2
"willamette",23752688,23752680,3,3
"willamette",23804974,23804972,4,4
"willamette",23796677,23796675,5,5
"willamette",23765413,23763199,1,1
"willamette",23773595,23773593,2,2
"willamette",23763499,23763497,3,3
"willamette",23752650,23752648,4,4
"willamette",23785663,23785661,5,5
"willamette",23764265,23762663,1,1
"willamette",23753948,23752258,2,2
"willamette",23796735,23796733,4,4
"willamette",23751928,23751926,5,5
"willamette",23781769,23780685,1,1
"willamette",23752756,23752754,2,2
"willamette",23752234,23752232,3,3
"willamette",23781279,23780761,1,1
"willamette",23800638,23800636,2,2
"willamette",23772777,23772775,5,5
"willamette",23781131,23780787,1,1
"willamette",23765415,23763201,2,2
"willamette",23804990,23804988,3,3
"willamette",23805042,23805044,4,4
"willamette",23781413,23781385,1,1
"willamette",23765509,23765511,2,2
"willamette",23773489,23773487,3,3
"willamette",23785711,23785709,5,5
"willamette",23752620,23752618,1,1
"willamette",23780591,23780589,4,4
"willamette",23785719,23785717,5,5
"willamette",23765245,23763179,1,1
"willamette",23763743,23763741,2,2
"willamette",23785977,23785975,3,3
"willamette",23785935,23785933,4,4
"willamette",23762893,23762891,5,5
"willamette",23786691,23785671,1,1
"willamette",23792365,23792393,2,2
"willamette",23763697,23763695,3,3
"willamette",23773309,23773311,5,5
"willamette",23791083,23791085,7,6
"willamette",23786533,23786531,1,1
"willamette",23765107,23763493,2,2
"willamette",23800878,23800876,4,4
"willamette",23751928,23751926,5,5
"willamette",23791011,23815058,7,6
"willamette",23810728,23810732,1,1
"willamette",23752328,23753950,2,2
"willamette",23786375,23785815,3,3
"willamette",23797079,23797097,1,1
"willamette",23805052,23805050,3,3
"willamette",23809186,23809184,5,5
"willamette",23786709,23786429,1,1
"willamette",23809772,23809770,2,2
"willamette",23762971,23762969,4,4
"willamette",23762667,23762665,5,5
"willamette",23791373,23791379,7,6
"willamette",23805778,23805160,1,1
"willamette",23781027,23780861,2,2
"willamette",23809378,23809376,3,3
"willamette",23809352,23809350,4,4
"willamette",23804850,23804852,5,5
"willamette",23809230,23809228,3,3
"willamette",23751928,23751926,5,5
"willamette",23791017,23791015,7,6
"willamette",23791667,23791677,1,1
"willamette",23763513,23763511,2,2
"willamette",23805040,23805042,4,4
"willamette",23791293,23791291,7,6
"willamette",23774475,23773293,2,2
"willamette",947090098,947090097,3,3
"willamette",23780577,23780575,5,5
"willamette",23810256,23809192,1,1
"willamette",23764719,23764757,2,2
"willamette",23796693,23796691,4,4
"willamette",23751780,23751778,5,5
"willamette",23791071,23791073,7,6
"willamette",23774569,23774471,1,1
"willamette",23773939,23773609,2,2
"willamette",23751928,23751926,5,5
"willamette",23815058,23815056,7,6
"willamette",23781209,23781263,1,1
"willamette",23809604,23809602,2,2
"willamette",23780433,23780431,3,3
"willamette",23809434,23809432,4,4
"willamette",23800568,23800566,5,5
"willamette",137182882,23792573,7,6
"willamette",23781385,23781379,1,1
"willamette",23791151,23791095,3,3
"willamette",23800786,23800596,4,4
"willamette",23809012,23809010,5,5
"willamette",137182882,23792573,7,6
"willamette",23759816,23759646,1,1
"willamette",23781313,23780707,2,2
"willamette",23752092,23752090,3,3
"willamette",23762971,23762969,4,4
"willamette",23773207,23773209,5,5
"willamette",23791071,23791073,7,6
"willamette",23791743,23791409,1,1
"willamette",23765505,23765501,3,3
"willamette",137182882,23792573,7,6
"willamette",23786361,23785885,2,2
"willamette",23786923,23785933,1,1
"willamette",23764229,23764285,2,2
"willamette",23815058,23815056,7,6
"willamette",23774339,23774353,1,1
"willamette",23759624,23759622,2,2
"willamette",23796633,947090082,5,5
"willamette",23791017,23791015,7,6
"willamette",23764253,23764263,1,1
"willamette",23810668,23809550,2,2
"willamette",23796807,23796633,4,4
"willamette",23764847,23764845,1,1
"willamette",23785915,23785913,4,4
"willamette",23753820,23752108,1,1
"willamette",23810718,23810716,2,2
"willamette",23762795,23762653,4,4
"willamette",23759284,23759282,5,5
"willamette",23753834,23753844,1,1
"willamette",23752430,23752428,2,2
"willamette",23759528,23759526,3,3
"willamette",23762683,23762681,4,4
"willamette",23765419,23765421,1,1
"willamette",23804952,23804950,3,3
"willamette",23809566,23809564,4,4
"willamette",23804940,23804932,5,5
"willamette",23787053,23785905,1,1
"willamette",23780731,23780729,4,4
"willamette",947090069,23772825,5,5
"willamette",23810364,23810344,1,1
"willamette",23765519,23765505,2,2
"willamette",947090097,23773327,4,4
"willamette",23801598,23800770,1,1
"willamette",23774149,23773217,2,2
"willamette",23809520,23809518,4,4
"willamette",23763147,23763145,5,5
"willamette",23791089,23791091,7,6
"willamette",23753086,23753110,1,1
"willamette",23786035,23786033,4,4
"willamette",23785773,23785771,5,5
"willamette",947090001,23763317,1,1
"willamette",23752194,23752192,2,2
"willamette",23764901,23763535,3,3
"willamette",23796735,23796733,4,4
"willamette",23800826,23800824,5,5
"willamette",23781517,23780743,1,1
"willamette",23765105,23763605,2,2
"willamette",23752316,23752314,3,3
"willamette",23762739,23762737,4,4
"willamette",23752174,23752172,2,2
"willamette",23785685,23785683,5,5
"willamette",23815058,23815056,7,6
"willamette",23801724,23801686,1,1
"willamette",23809646,23809160,2,2
"willamette",23791179,23791177,3,3
"willamette",23800860,23800858,4,4
"willamette",23800596,23800594,5,5
"willamette",23809312,23809310,2,2
"willamette",23785859,23785857,3,3
"willamette",23804946,23804944,4,4
"willamette",23753460,23752384,2,2
"willamette",23751928,23751926,5,5
"willamette",23787243,23785747,1,1
"willamette",23762931,23762929,2,2
"willamette",23801138,23801140,3,3
"willamette",23796735,23796733,4,4
"willamette",23772745,23772743,5,5
"willamette",23774477,25019044,1,1
"willamette",23809434,23809432,4,4
"willamette",23800826,23800824,5,5
"willamette",23809674,23809672,1,1
"willamette",23763857,23763855,2,2
"willamette",23762749,23762747,4,4
"willamette",23751928,23751926,5,5
"willamette",23764421,23764419,1,1
"willamette",23791557,23791047,2,2
"willamette",23791115,23791113,3,3
"willamette",23751928,23751926,5,5
"willamette",23760030,23760014,1,1
"willamette",23763949,23762683,3,3
"willamette",23762897,23762895,4,4
"willamette",23762667,23762665,5,5
"willamette",23751826,23751824,2,2
"willamette",23763961,23762759,3,3
"willamette",23780731,23780729,4,4
"willamette",23805518,23805536,1,1
